COORDINATES_ID, GEO_OBJECT_TYPE_ID, I18NAME_ID, ID, PARENT_ID
"2","101","100106","1",null
"1","100","100105","2","1"
"3","100","100107","3","1"
"4","100","100108","4","1"
"5","100","100109","5","1"
"6","100","100110","6","1"
"7","100","100111","7","1"
"8","100","100112","8","1"
"9","100","100113","9","1"
"10","100","100114","10","1"
"11","100","100115","11","1"
"12","100","100116","12","1"
"13","100","100117","13","1"
"14","100","100118","14","1"
"15","100","100119","15","1"
"16","100","100120","16","1"
"17","100","100121","17","1"
"18","100","100122","18","1"
"19","100","100123","19","1"
"20","100","100124","20","1"
"21","100","100125","21","1"
"22","100","100126","22","1"
"23","100","100127","23","1"
"24","100","100128","24","1"
"25","100","100129","25","1"
"26","100","100130","26","1"
"28","101","100132","27",null
"27","100","100131","28","27"
"30","101","100134","29",null
"29","100","100133","30","29"
"31","100","100135","31","29"
"32","100","100136","32","29"
"33","100","100137","33","29"
"34","100","100138","34","29"
"35","100","100139","35","29"
"36","100","100140","36","29"
"37","100","100141","37","29"
"38","100","100142","38","29"
"39","100","100143","39","29"
"40","100","100144","40","29"
"41","100","100145","41","29"
"42","100","100146","42","29"
"43","100","100147","43","29"
"44","100","100148","44","29"
"45","100","100149","45","29"
"46","100","100150","46","29"
"47","100","100151","47","29"
"48","100","100152","48","29"
"49","100","100153","49","29"
"50","100","100154","50","29"
"51","100","100155","51","29"
"52","100","100156","52","29"
"53","100","100157","53","29"
"54","100","100158","54","29"
"55","100","100159","55","29"
"56","100","100160","56","29"
"57","100","100161","57","29"
"58","100","100162","58","29"
"59","100","100163","59","29"
"60","100","100164","60","29"
"61","100","100165","61","29"
"62","100","100166","62","29"
"63","100","100167","63","29"
"64","100","100168","64","29"
"65","100","100169","65","29"
"66","100","100170","66","29"
"67","100","100171","67","29"
"68","100","100172","68","29"
"69","100","100173","69","29"
"70","100","100174","70","29"
"71","100","100175","71","29"
"72","100","100176","72","29"
"73","100","100177","73","29"
"74","100","100178","74","29"
"75","100","100179","75","29"
"76","100","100180","76","29"
"77","100","100181","77","29"
"78","100","100182","78","29"
"79","100","100183","79","29"
"80","100","100184","80","29"
"81","100","100185","81","29"
"82","100","100186","82","29"
"83","100","100187","83","29"
"84","100","100188","84","29"
"85","100","100189","85","29"
"86","100","100190","86","29"
"87","100","100191","87","29"
"88","100","100192","88","29"
"89","100","100193","89","29"
"90","100","100194","90","29"
"91","100","100195","91","29"
"92","100","100196","92","29"
"93","100","100197","93","29"
"94","100","100198","94","29"
"95","100","100199","95","29"
"96","100","100200","96","29"
"97","100","100201","97","29"
"98","101","100202","98",null
"100","101","100204","99",null
"99","100","100203","100","99"
"101","100","100205","101","99"
"102","100","100206","102","99"
"104","101","100208","103",null
"103","100","100207","104","103"
"105","100","100209","105","103"
"106","100","100210","106","103"
"107","100","100211","107","103"
"108","100","100212","108","103"
"109","100","100213","109","103"
"110","100","100214","110","103"
"111","100","100215","111","103"
"112","100","100216","112","103"
"113","100","100217","113","103"
"114","100","100218","114","103"
"115","100","100219","115","103"
"116","100","100220","116","103"
"117","100","100221","117","103"
"118","100","100222","118","103"
"119","100","100223","119","103"
"120","100","100224","120","103"
"121","100","100225","121","103"
"122","100","100226","122","103"
"123","100","100227","123","103"
"124","100","100228","124","103"
"125","100","100229","125","103"
"126","100","100230","126","103"
"127","100","100231","127","103"
"128","100","100232","128","103"
"129","100","100233","129","103"
"130","100","100234","130","103"
"131","100","100235","131","103"
"132","100","100236","132","103"
"133","100","100237","133","103"
"134","100","100238","134","103"
"135","100","100239","135","103"
"136","100","100240","136","103"
"137","100","100241","137","103"
"138","100","100242","138","103"
"139","100","100243","139","103"
"140","100","100244","140","103"
"141","100","100245","141","103"
"142","100","100246","142","103"
"143","100","100247","143","103"
"144","100","100248","144","103"
"145","100","100249","145","103"
"146","100","100250","146","103"
"147","100","100251","147","103"
"148","100","100252","148","103"
"149","100","100253","149","103"
"150","100","100254","150","103"
"151","100","100255","151","103"
"152","101","100256","152",null
"154","101","100258","153",null
"153","100","100257","154","153"
"155","100","100259","155","153"
"156","100","100260","156","153"
"157","100","100261","157","153"
"158","100","100262","158","153"
"159","100","100263","159","153"
"160","100","100264","160","153"
"161","100","100265","161","153"
"162","100","100266","162","153"
"163","100","100267","163","153"
"164","100","100268","164","153"
"165","100","100269","165","153"
"166","100","100270","166","153"
"167","100","100271","167","153"
"168","100","100272","168","153"
"169","100","100273","169","153"
"170","100","100274","170","153"
"171","100","100275","171","153"
"172","100","100276","172","153"
"173","100","100277","173","153"
"174","100","100278","174","153"
"175","100","100279","175","153"
"176","100","100280","176","153"
"177","100","100281","177","153"
"178","100","100282","178","153"
"179","100","100283","179","153"
"180","100","100284","180","153"
"181","100","100285","181","153"
"182","100","100286","182","153"
"183","100","100287","183","153"
"184","100","100288","184","153"
"185","100","100289","185","153"
"186","100","100290","186","153"
"187","100","100291","187","153"
"188","100","100292","188","153"
"189","100","100293","189","153"
"190","100","100294","190","153"
"191","100","100295","191","153"
"192","100","100296","192","153"
"193","100","100297","193","153"
"194","100","100298","194","153"
"195","100","100299","195","153"
"196","100","100300","196","153"
"198","101","100302","197",null
"197","100","100301","198","197"
"199","100","100303","199","197"
"200","100","100304","200","197"
"201","100","100305","201","197"
"202","100","100306","202","197"
"203","100","100307","203","197"
"204","100","100308","204","197"
"205","100","100309","205","197"
"206","100","100310","206","197"
"207","100","100311","207","197"
"208","100","100312","208","197"
"210","101","100314","209",null
"209","100","100313","210","209"
"211","100","100315","211","209"
"212","100","100316","212","209"
"213","100","100317","213","209"
"214","100","100318","214","209"
"215","100","100319","215","209"
"216","100","100320","216","209"
"217","100","100321","217","209"
"218","100","100322","218","209"
"219","100","100323","219","209"
"220","100","100324","220","209"
"222","101","100326","221",null
"221","100","100325","222","221"
"223","100","100327","223","221"
"224","100","100328","224","221"
"225","100","100329","225","221"
"226","100","100330","226","221"
"227","100","100331","227","221"
"228","100","100332","228","221"
"229","100","100333","229","221"
"230","100","100334","230","221"
"231","100","100335","231","221"
"232","100","100336","232","221"
"233","100","100337","233","221"
"234","100","100338","234","221"
"235","100","100339","235","221"
"236","100","100340","236","221"
"237","100","100341","237","221"
"238","100","100342","238","221"
"240","101","100344","239",null
"239","100","100343","240","239"
"241","100","100345","241","239"
"242","100","100346","242","239"
"243","100","100347","243","239"
"244","100","100348","244","239"
"245","100","100349","245","239"
"246","100","100350","246","239"
"247","100","100351","247","239"
"248","100","100352","248","239"
"249","100","100353","249","239"
"250","100","100354","250","239"
"251","100","100355","251","239"
"252","100","100356","252","239"
"253","100","100357","253","239"
"254","100","100358","254","239"
"255","100","100359","255","239"
"256","100","100360","256","239"
"257","100","100361","257","239"
"258","100","100362","258","239"
"259","100","100363","259","239"
"260","100","100364","260","239"
"261","100","100365","261","239"
"262","100","100366","262","239"
"263","100","100367","263","239"
"264","100","100368","264","239"
"265","100","100369","265","239"
"266","100","100370","266","239"
"267","100","100371","267","239"
"268","100","100372","268","239"
"269","100","100373","269","239"
"270","100","100374","270","239"
"271","100","100375","271","239"
"272","100","100376","272","239"
"273","100","100377","273","239"
"274","100","100378","274","239"
"275","100","100379","275","239"
"276","100","100380","276","239"
"277","100","100381","277","239"
"278","100","100382","278","239"
"279","100","100383","279","239"
"280","100","100384","280","239"
"281","100","100385","281","239"
"282","100","100386","282","239"
"283","100","100387","283","239"
"284","100","100388","284","239"
"285","100","100389","285","239"
"286","100","100390","286","239"
"287","100","100391","287","239"
"289","101","100393","288",null
"288","100","100392","289","288"
"290","100","100394","290","288"
"291","100","100395","291","288"
"292","100","100396","292","288"
"293","100","100397","293","288"
"294","100","100398","294","288"
"295","100","100399","295","288"
"296","100","100400","296","288"
"297","100","100401","297","288"
"298","100","100402","298","288"
"299","100","100403","299","288"
"300","100","100404","300","288"
"301","100","100405","301","288"
"302","100","100406","302","288"
"303","100","100407","303","288"
"304","100","100408","304","288"
"305","100","100409","305","288"
"306","100","100410","306","288"
"307","100","100411","307","288"
"308","100","100412","308","288"
"309","100","100413","309","288"
"310","100","100414","310","288"
"311","100","100415","311","288"
"312","100","100416","312","288"
"313","100","100417","313","288"
"314","100","100418","314","288"
"315","100","100419","315","288"
"316","100","100420","316","288"
"317","100","100421","317","288"
"318","100","100422","318","288"
"319","100","100423","319","288"
"320","100","100424","320","288"
"321","100","100425","321","288"
"322","100","100426","322","288"
"323","100","100427","323","288"
"324","100","100428","324","288"
"325","100","100429","325","288"
"326","100","100430","326","288"
"327","100","100431","327","288"
"328","100","100432","328","288"
"329","100","100433","329","288"
"330","100","100434","330","288"
"331","100","100435","331","288"
"332","100","100436","332","288"
"334","101","100438","333",null
"333","100","100437","334","333"
"335","100","100439","335","333"
"336","100","100440","336","333"
"337","100","100441","337","333"
"338","100","100442","338","333"
"339","100","100443","339","333"
"340","100","100444","340","333"
"342","101","100446","341",null
"341","100","100445","342","341"
"343","100","100447","343","341"
"344","100","100448","344","341"
"345","100","100449","345","341"
"346","100","100450","346","341"
"347","100","100451","347","341"
"348","100","100452","348","341"
"349","100","100453","349","341"
"350","100","100454","350","341"
"351","100","100455","351","341"
"352","100","100456","352","341"
"353","100","100457","353","341"
"354","100","100458","354","341"
"355","100","100459","355","341"
"356","100","100460","356","341"
"357","100","100461","357","341"
"358","100","100462","358","341"
"360","101","100464","359",null
"359","100","100463","360","359"
"361","100","100465","361","359"
"362","100","100466","362","359"
"363","100","100467","363","359"
"364","100","100468","364","359"
"365","100","100469","365","359"
"366","100","100470","366","359"
"367","100","100471","367","359"
"368","100","100472","368","359"
"369","100","100473","369","359"
"370","100","100474","370","359"
"371","100","100475","371","359"
"372","100","100476","372","359"
"373","100","100477","373","359"
