ID, VALUE_EN, VALUE_RU, VALUE_UK
"100001","passenger","пассажир","пасажир"
"100002","driver","водитель","водій"
"100100","building","дом","дом"
"100101","street","улица","вулиця"
"100102","city-area","район","район"
"100103","city","город","місто"
"100104","country","страна","країна"
"100105","1","","1"
"100106","1-Go Travnya vul. (Bortnichi)","","1-Го Травня вул. (Бортничі)"
"100107","1A","","1А"
"100108","2","","2"
"100109","2A","","2А"
"100110","3","","3"
"100111","4","","4"
"100112","5","","5"
"100113","6","","6"
"100114","9","","9"
"100115","10","","10"
"100116","11","","11"
"100117","12","","12"
"100118","12D","","12Д"
"100119","13","","13"
"100120","14","","14"
"100121","15","","15"
"100122","16","","16"
"100123","18","","18"
"100124","19","","19"
"100125","23B","","23Б"
"100126","32","","32"
"100127","39","","39"
"100128","41","","41"
"100129","44A","","44А"
"100130","49/51","","49/51"
"100131","1","","1"
"100132","40-Richchya Peremogi vul. (Mila S.)","","40-Річчя Перемоги вул. (Мила С.)"
"100133","1","","1"
"100134","50-Richchya ZHovtnya prosp./Kurbasa Lesya","","50-Річчя Жовтня просп./Курбаса Леся"
"100135","1A","","1А"
"100136","1B","","1Б"
"100137","2/13","","2/13"
"100138","2A","","2А"
"100139","2B","","2Б"
"100140","2V","","2В"
"100141","2G","","2Г"
"100142","2D","","2Д"
"100143","3","","3"
"100144","3A","","3А"
"100145","3B","","3Б"
"100146","3V","","3В"
"100147","3G","","3Г"
"100148","4","","4"
"100149","4A","","4А"
"100150","5","","5"
"100151","5A","","5А"
"100152","5B","","5Б"
"100153","5V","","5В"
"100154","6","","6"
"100155","6G","","6Г"
"100156","7","","7"
"100157","7A","","7А"
"100158","7G","","7Г"
"100159","8","","8"
"100160","8B","","8Б"
"100161","9","","9"
"100162","9A","","9А"
"100163","9B","","9Б"
"100164","9V","","9В"
"100165","9G","","9Г"
"100166","9D","","9Д"
"100167","9E","","9Е"
"100168","9ZH","","9Ж"
"100169","10","","10"
"100170","10A","","10А"
"100171","10B","","10Б"
"100172","10V","","10В"
"100173","10G","","10Г"
"100174","10D","","10Д"
"100175","10E","","10Е"
"100176","10ZH","","10Ж"
"100177","12","","12"
"100178","12A","","12А"
"100179","12B","","12Б"
"100180","12V","","12В"
"100181","12G","","12Г"
"100182","12E","","12Е"
"100183","13","","13"
"100184","13A","","13А"
"100185","14","","14"
"100186","14A","","14А"
"100187","15","","15"
"100188","15A","","15А"
"100189","16","","16"
"100190","17","","17"
"100191","18","","18"
"100192","18A","","18А"
"100193","18B","","18Б"
"100194","18V","","18В"
"100195","18G","","18Г"
"100196","18D","","18Д"
"100197","19","","19"
"100198","19/11","","19/11"
"100199","52","","52"
"100200","87A","","87А"
"100201","104","","104"
"100202","Evropeis'ka pl.","","Європейська пл."
"100203","1","","1"
"100204","Eniseis'ka vul.","","Єнісейська вул."
"100205","2","","2"
"100206","5","","5"
"100207","1","","1"
"100208","Erevans'ka vul.","","Єреванська вул."
"100209","2","","2"
"100210","3","","3"
"100211","3A","","3А"
"100212","4","","4"
"100213","5","","5"
"100214","6","","6"
"100215","7","","7"
"100216","8","","8"
"100217","8A","","8А"
"100218","9","","9"
"100219","10","","10"
"100220","10A","","10А"
"100221","11","","11"
"100222","12","","12"
"100223","12A","","12А"
"100224","13","","13"
"100225","13/1","","13/1"
"100226","14","","14"
"100227","14A","","14А"
"100228","14B","","14Б"
"100229","14V","","14В"
"100230","14G","","14Г"
"100231","14D","","14Д"
"100232","15","","15"
"100233","16","","16"
"100234","16A","","16А"
"100235","17","","17"
"100236","18","","18"
"100237","18A","","18А"
"100238","19","","19"
"100239","20","","20"
"100240","21","","21"
"100241","22","","22"
"100242","23","","23"
"100243","24","","24"
"100244","25","","25"
"100245","25/1","","25/1"
"100246","26","","26"
"100247","27","","27"
"100248","27/1","","27/1"
"100249","28","","28"
"100250","28A","","28А"
"100251","29","","29"
"100252","29/1","","29/1"
"100253","30","","30"
"100254","31/1","","31/1"
"100255","32","","32"
"100256","Ermaka vul.","","Єрмака вул."
"100257","1","","1"
"100258","Esenina Sergiya vul.","","Єсеніна Сергія вул."
"100259","2","","2"
"100260","3","","3"
"100261","4","","4"
"100262","5","","5"
"100263","6","","6"
"100264","7","","7"
"100265","8","","8"
"100266","9","","9"
"100267","10","","10"
"100268","11","","11"
"100269","12","","12"
"100270","13","","13"
"100271","14","","14"
"100272","15","","15"
"100273","16","","16"
"100274","17","","17"
"100275","18","","18"
"100276","19","","19"
"100277","20","","20"
"100278","21","","21"
"100279","22","","22"
"100280","23","","23"
"100281","24","","24"
"100282","25","","25"
"100283","26","","26"
"100284","27","","27"
"100285","28","","28"
"100286","29","","29"
"100287","30","","30"
"100288","31","","31"
"100289","32","","32"
"100290","33","","33"
"100291","34","","34"
"100292","35","","35"
"100293","36","","36"
"100294","37","","37"
"100295","38","","38"
"100296","39","","39"
"100297","40","","40"
"100298","41","","41"
"100299","42","","42"
"100300","43","","43"
"100301","10","","10"
"100302","Ivanova Andriya vul.","","Іванова Андрія вул."
"100303","11","","11"
"100304","12","","12"
"100305","13","","13"
"100306","14","","14"
"100307","17","","17"
"100308","19","","19"
"100309","21","","21"
"100310","23","","23"
"100311","25/1","","25/1"
"100312","29/18","","29/18"
"100313","1","","1"
"100314","Ivashkevicha YAroslava vul.","","Івашкевича Ярослава вул."
"100315","3","","3"
"100316","4","","4"
"100317","5","","5"
"100318","6","","6"
"100319","6/8A","","6/8А"
"100320","8","","8"
"100321","8A","","8А"
"100322","10","","10"
"100323","12","","12"
"100324","14","","14"
"100325","1","","1"
"100326","Igorivs'ka vul.","","Ігорівська вул."
"100327","1/18","","1/18"
"100328","1/8","","1/8"
"100329","2/6","","2/6"
"100330","3","","3"
"100331","5","","5"
"100332","5A","","5А"
"100333","7","","7"
"100334","11","","11"
"100335","11/2","","11/2"
"100336","12","","12"
"100337","12A","","12А"
"100338","12B","","12Б"
"100339","13","","13"
"100340","14","","14"
"100341","14A","","14А"
"100342","16","","16"
"100343","1/24","","1/24"
"100344","Izhakevicha Ivana vul.","","Їжакевича Івана вул."
"100345","3","","3"
"100346","4","","4"
"100347","5/9","","5/9"
"100348","7/10","","7/10"
"100349","9","","9"
"100350","10/8","","10/8"
"100351","12","","12"
"100352","14","","14"
"100353","16","","16"
"100354","18","","18"
"100355","19","","19"
"100356","20","","20"
"100357","21","","21"
"100358","55","","55"
"100359","56","","56"
"100360","56A","","56А"
"100361","57","","57"
"100362","58","","58"
"100363","59","","59"
"100364","60","","60"
"100365","61","","61"
"100366","62","","62"
"100367","63","","63"
"100368","64/16","","64/16"
"100369","65/5","","65/5"
"100370","65A","","65А"
"100371","66/7","","66/7"
"100372","67","","67"
"100373","68","","68"
"100374","69","","69"
"100375","70","","70"
"100376","71","","71"
"100377","72","","72"
"100378","73","","73"
"100379","74","","74"
"100380","75","","75"
"100381","76","","76"
"100382","77","","77"
"100383","78","","78"
"100384","80","","80"
"100385","82","","82"
"100386","84","","84"
"100387","86","","86"
"100388","88","","88"
"100389","90","","90"
"100390","92","","92"
"100391","94","","94"
"100392","1","","1"
"100393","Izhevs'ka vul.","","Іжевська вул."
"100394","1A","","1А"
"100395","2","","2"
"100396","2A","","2А"
"100397","2B","","2Б"
"100398","3","","3"
"100399","4","","4"
"100400","4A","","4А"
"100401","5","","5"
"100402","6","","6"
"100403","6A","","6А"
"100404","7","","7"
"100405","7A","","7А"
"100406","7B","","7Б"
"100407","8","","8"
"100408","8A","","8А"
"100409","9","","9"
"100410","9A","","9А"
"100411","10A","","10А"
"100412","11","","11"
"100413","11A","","11А"
"100414","11B","","11Б"
"100415","12","","12"
"100416","12A","","12А"
"100417","15","","15"
"100418","15A","","15А"
"100419","16A","","16А"
"100420","16B","","16Б"
"100421","20A","","20А"
"100422","21","","21"
"100423","21A","","21А"
"100424","22","","22"
"100425","22A","","22А"
"100426","22B","","22Б"
"100427","23","","23"
"100428","23A","","23А"
"100429","24","","24"
"100430","25","","25"
"100431","25A","","25А"
"100432","26","","26"
"100433","26A","","26А"
"100434","27","","27"
