ID, VALUE_EN, VALUE_RU, VALUE_UK
"100001","passenger","пассажир","пасажир"
"100002","driver","водитель","водій"
"100100","building","дом","дом"
"100101","street","улица","вулиця"
"100102","city-area","район","район"
"100103","city","город","місто"
"100104","country","страна","країна"
"100105","","","1"
"100106","","","1-Го Травня вул. (Бортничі)"
"100107","","","1А"
"100108","","","2"
"100109","","","2А"
"100110","","","3"
"100111","","","4"
"100112","","","5"
"100113","","","6"
"100114","","","9"
"100115","","","10"
"100116","","","11"
"100117","","","12"
"100118","","","12Д"
"100119","","","13"
"100120","","","14"
"100121","","","15"
"100122","","","16"
"100123","","","18"
"100124","","","19"
"100125","","","23Б"
"100126","","","32"
"100127","","","39"
"100128","","","41"
"100129","","","44А"
"100130","","","49/51"
"100131","","","1"
"100132","","","40-Річчя Перемоги вул. (Мила С.)"
"100133","","","1"
"100134","","","50-Річчя Жовтня просп./Курбаса Леся"
"100135","","","1А"
"100136","","","1Б"
"100137","","","2/13"
"100138","","","2А"
"100139","","","2Б"
"100140","","","2В"
"100141","","","2Г"
"100142","","","2Д"
"100143","","","3"
"100144","","","3А"
"100145","","","3Б"
"100146","","","3В"
"100147","","","3Г"
"100148","","","4"
"100149","","","4А"
"100150","","","5"
"100151","","","5А"
"100152","","","5Б"
"100153","","","5В"
"100154","","","6"
"100155","","","6Г"
"100156","","","7"
"100157","","","7А"
"100158","","","7Г"
"100159","","","8"
"100160","","","8Б"
"100161","","","9"
"100162","","","9А"
"100163","","","9Б"
"100164","","","9В"
"100165","","","9Г"
"100166","","","9Д"
"100167","","","9Е"
"100168","","","9Ж"
"100169","","","10"
"100170","","","10А"
"100171","","","10Б"
"100172","","","10В"
"100173","","","10Г"
"100174","","","10Д"
"100175","","","10Е"
"100176","","","10Ж"
"100177","","","12"
"100178","","","12А"
"100179","","","12Б"
"100180","","","12В"
"100181","","","12Г"
"100182","","","12Е"
"100183","","","13"
"100184","","","13А"
"100185","","","14"
"100186","","","14А"
"100187","","","15"
"100188","","","15А"
"100189","","","16"
"100190","","","17"
"100191","","","18"
"100192","","","18А"
"100193","","","18Б"
"100194","","","18В"
"100195","","","18Г"
"100196","","","18Д"
"100197","","","19"
"100198","","","19/11"
"100199","","","52"
"100200","","","87А"
"100201","","","104"
"100202","","","Європейська пл."
"100203","","","1"
"100204","","","Єнісейська вул."
"100205","","","2"
"100206","","","5"
"100207","","","1"
"100208","","","Єреванська вул."
"100209","","","2"
"100210","","","3"
"100211","","","3А"
"100212","","","4"
"100213","","","5"
"100214","","","6"
"100215","","","7"
"100216","","","8"
"100217","","","8А"
"100218","","","9"
"100219","","","10"
"100220","","","10А"
"100221","","","11"
"100222","","","12"
"100223","","","12А"
"100224","","","13"
"100225","","","13/1"
"100226","","","14"
"100227","","","14А"
"100228","","","14Б"
"100229","","","14В"
"100230","","","14Г"
"100231","","","14Д"
"100232","","","15"
"100233","","","16"
"100234","","","16А"
"100235","","","17"
"100236","","","18"
"100237","","","18А"
"100238","","","19"
"100239","","","20"
"100240","","","21"
"100241","","","22"
"100242","","","23"
"100243","","","24"
"100244","","","25"
"100245","","","25/1"
"100246","","","26"
"100247","","","27"
"100248","","","27/1"
"100249","","","28"
"100250","","","28А"
"100251","","","29"
"100252","","","29/1"
"100253","","","30"
"100254","","","31/1"
"100255","","","32"
"100256","","","Єрмака вул."
"100257","","","1"
"100258","","","Єсеніна Сергія вул."
"100259","","","2"
"100260","","","3"
"100261","","","4"
"100262","","","5"
"100263","","","6"
"100264","","","7"
"100265","","","8"
"100266","","","9"
"100267","","","10"
"100268","","","11"
"100269","","","12"
"100270","","","13"
"100271","","","14"
"100272","","","15"
"100273","","","16"
"100274","","","17"
"100275","","","18"
"100276","","","19"
"100277","","","20"
"100278","","","21"
"100279","","","22"
"100280","","","23"
"100281","","","24"
"100282","","","25"
"100283","","","26"
"100284","","","27"
"100285","","","28"
"100286","","","29"
"100287","","","30"
"100288","","","31"
"100289","","","32"
"100290","","","33"
"100291","","","34"
"100292","","","35"
"100293","","","36"
"100294","","","37"
"100295","","","38"
"100296","","","39"
"100297","","","40"
"100298","","","41"
"100299","","","42"
"100300","","","43"
"100301","","","10"
"100302","","","Іванова Андрія вул."
"100303","","","11"
"100304","","","12"
"100305","","","13"
"100306","","","14"
"100307","","","17"
"100308","","","19"
"100309","","","21"
"100310","","","23"
"100311","","","25/1"
"100312","","","29/18"
"100313","","","1"
"100314","","","Івашкевича Ярослава вул."
"100315","","","3"
"100316","","","4"
"100317","","","5"
"100318","","","6"
"100319","","","6/8А"
"100320","","","8"
"100321","","","8А"
"100322","","","10"
"100323","","","12"
"100324","","","14"
"100325","","","1"
"100326","","","Ігорівська вул."
"100327","","","1/18"
"100328","","","1/8"
"100329","","","2/6"
"100330","","","3"
"100331","","","5"
"100332","","","5А"
"100333","","","7"
"100334","","","11"
"100335","","","11/2"
"100336","","","12"
"100337","","","12А"
"100338","","","12Б"
"100339","","","13"
"100340","","","14"
"100341","","","14А"
"100342","","","16"
"100343","","","1/24"
"100344","","","Їжакевича Івана вул."
"100345","","","3"
"100346","","","4"
"100347","","","5/9"
"100348","","","7/10"
"100349","","","9"
"100350","","","10/8"
"100351","","","12"
"100352","","","14"
"100353","","","16"
"100354","","","18"
"100355","","","19"
"100356","","","20"
"100357","","","21"
"100358","","","55"
"100359","","","56"
"100360","","","56А"
"100361","","","57"
"100362","","","58"
"100363","","","59"
"100364","","","60"
"100365","","","61"
"100366","","","62"
"100367","","","63"
"100368","","","64/16"
"100369","","","65/5"
"100370","","","65А"
"100371","","","66/7"
"100372","","","67"
"100373","","","68"
"100374","","","69"
"100375","","","70"
"100376","","","71"
"100377","","","72"
"100378","","","73"
"100379","","","74"
"100380","","","75"
"100381","","","76"
"100382","","","77"
"100383","","","78"
"100384","","","80"
"100385","","","82"
"100386","","","84"
"100387","","","86"
"100388","","","88"
"100389","","","90"
"100390","","","92"
"100391","","","94"
"100392","","","1"
"100393","","","Іжевська вул."
"100394","","","1А"
"100395","","","2"
"100396","","","2А"
"100397","","","2Б"
"100398","","","3"
"100399","","","4"
"100400","","","4А"
"100401","","","5"
"100402","","","6"
"100403","","","6А"
"100404","","","7"
"100405","","","7А"
"100406","","","7Б"
"100407","","","8"
"100408","","","8А"
"100409","","","9"
"100410","","","9А"
"100411","","","10А"
"100412","","","11"
"100413","","","11А"
"100414","","","11Б"
"100415","","","12"
"100416","","","12А"
"100417","","","15"
"100418","","","15А"
"100419","","","16А"
"100420","","","16Б"
"100421","","","20А"
"100422","","","21"
"100423","","","21А"
"100424","","","22"
"100425","","","22А"
"100426","","","22Б"
"100427","","","23"
"100428","","","23А"
"100429","","","24"
"100430","","","25"
"100431","","","25А"
"100432","","","26"
"100433","","","26А"
"100434","","","27"
"100435","","","27А"
"100436","","","28"
"100437","","","1"
"100438","","","Ізюмська вул."
"100439","","","2"
"100440","","","3"
"100441","","","5"
"100442","","","5А"
"100443","","","7"
"100444","","","7А"
"100445","","","3/7"
"100446","","","Іллінська вул."
"100447","","","4"
"100448","","","4А"
"100449","","","6"
"100450","","","6/16"
"100451","","","8"
"100452","","","9"
"100453","","","10"
"100454","","","10А"
"100455","","","12"
"100456","","","14/5"
"100457","","","16"
"100458","","","18"
"100459","","","20"
"100460","","","20А"
"100461","","","22"
"100462","","","22/13"
"100463","","","3"
"100464","","","Ілліча вул."
"100465","","","4/6"
"100466","","","5"
"100467","","","6/5"
"100468","","","7"
"100469","","","7А"
"100470","","","8"
"100471","","","9"
"100472","","","10/5"
"100473","","","11"
"100474","","","12"
"100475","","","13"
"100476","","","14А"
"100477","","","15"
"100478","","","15А"
"100479","","","16"
"100480","","","17"
"100481","","","19/10"
"100482","","","20"
"100483","","","20А"
"100484","","","21"
"100485","","","22/15"
"100486","","","23"
"100487","","","25/17"
"100488","","","8"
"100489","","","Інгульський пров."
"100490","","","10"
"100491","","","11А"
"100492","","","1"
"100493","","","Індустріальний пров."
"100494","","","2"
"100495","","","3"
"100496","","","17"
"100497","","","19"
"100498","","","19А"
