ID, VALUE_EN, VALUE_RU, VALUE_UK
"100001","passenger","пассажир","пэсенжер"
"100002","driver","водитель","водий"
"100100","building","дом","домивка"
"100101","street","улица","вулыця"
"100102","city area","район","район"
"100103","city","город","мисто"
"100104","country","страна","краина"
"200001","Kikvidze","Киквидзе","Кыквыдзе"
"200002","Baseinaya","Бассейная","Басейна"
"200003","Lva Tolstogo","Льва Толстого","Лева Толстого"
"200004","Prospekt Pobedy","Проспект Победы","Проспект Перемоги"
"200005","","","1"
"200006","","","1-Го Травня вул. (Бортничі)"
"200007","","","1А"
"200008","","","2"
"200009","","","2А"
"200010","","","3"
"200011","","","4"
"200012","","","5"
"200013","","","6"
"200014","","","9"
"200015","","","10"
"200016","","","11"
"200017","","","12"
"200018","","","12Д"
"200019","","","13"
"200020","","","14"
"200021","","","15"
"200022","","","16"
"200023","","","18"
"200024","","","19"
"200025","","","23Б"
"200026","","","32"
"200027","","","39"
"200028","","","41"
"200029","","","44А"
"200030","","","49/51"
"200031","","","1"
"200032","","","40-Річчя Перемоги вул. (Мила С.)"
"200033","","","1"
"200034","","","50-Річчя Жовтня просп./Курбаса Леся"
"200035","","","1А"
"200036","","","1Б"
"200037","","","2/13"
"200038","","","2А"
"200039","","","2Б"
"200040","","","2В"
"200041","","","2Г"
"200042","","","2Д"
"200043","","","3"
"200044","","","3А"
"200045","","","3Б"
"200046","","","3В"
"200047","","","3Г"
"200048","","","4"
"200049","","","4А"
"200050","","","5"
"200051","","","5А"
"200052","","","5Б"
"200053","","","5В"
"200054","","","6"
"200055","","","6Г"
"200056","","","7"
"200057","","","7А"
"200058","","","7Г"
"200059","","","8"
"200060","","","8Б"
"200061","","","9"
"200062","","","9А"
"200063","","","9Б"
"200064","","","9В"
"200065","","","9Г"
"200066","","","9Д"
"200067","","","9Е"
"200068","","","9Ж"
"200069","","","10"
"200070","","","10А"
"200071","","","10Б"
"200072","","","10В"
"200073","","","10Г"
"200074","","","10Д"
"200075","","","10Е"
"200076","","","10Ж"
"200077","","","12"
"200078","","","12А"
"200079","","","12Б"
"200080","","","12В"
"200081","","","12Г"
"200082","","","12Е"
"200083","","","13"
"200084","","","13А"
"200085","","","14"
"200086","","","14А"
"200087","","","15"
"200088","","","15А"
"200089","","","16"
"200090","","","17"
"200091","","","18"
"200092","","","18А"
"200093","","","18Б"
"200094","","","18В"
"200095","","","18Г"
"200096","","","18Д"
"200097","","","19"
"200098","","","19/11"
"200099","","","52"
"200100","","","87А"
"200101","","","104"
"200102","","","1"
"200103","","","Єнісейська вул."
"200104","","","2"
"200105","","","5"
"200106","","","1"
"200107","","","Єреванська вул."
"200108","","","2"
"200109","","","3"
"200110","","","3А"
"200111","","","4"
"200112","","","5"
"200113","","","6"
"200114","","","7"
"200115","","","8"
"200116","","","8А"
"200117","","","9"
"200118","","","10"
"200119","","","10А"
"200120","","","11"
"200121","","","12"
"200122","","","12А"
"200123","","","13"
"200124","","","13/1"
"200125","","","14"
"200126","","","14А"
"200127","","","14Б"
"200128","","","14В"
"200129","","","14Г"
"200130","","","14Д"
"200131","","","15"
"200132","","","16"
"200133","","","16А"
"200134","","","17"
"200135","","","18"
"200136","","","18А"
"200137","","","19"
"200138","","","20"
"200139","","","21"
"200140","","","22"
"200141","","","23"
"200142","","","24"
"200143","","","25"
"200144","","","25/1"
"200145","","","26"
"200146","","","27"
"200147","","","27/1"
"200148","","","28"
"200149","","","28А"
"200150","","","29"
"200151","","","29/1"
"200152","","","30"
"200153","","","31/1"
"200154","","","32"
"200155","","","1"
"200156","","","Єсеніна Сергія вул."
"200157","","","2"
"200158","","","3"
"200159","","","4"
"200160","","","5"
"200161","","","6"
"200162","","","7"
"200163","","","8"
"200164","","","9"
"200165","","","10"
"200166","","","11"
"200167","","","12"
"200168","","","13"
"200169","","","14"
"200170","","","15"
"200171","","","16"
"200172","","","17"
"200173","","","18"
"200174","","","19"
"200175","","","20"
"200176","","","21"
"200177","","","22"
"200178","","","23"
"200179","","","24"
"200180","","","25"
"200181","","","26"
"200182","","","27"
"200183","","","28"
"200184","","","29"
"200185","","","30"
"200186","","","31"
"200187","","","32"
"200188","","","33"
"200189","","","34"
"200190","","","35"
"200191","","","36"
"200192","","","37"
"200193","","","38"
"200194","","","39"
"200195","","","40"
"200196","","","41"
"200197","","","42"
"200198","","","43"
"200199","","","10"
"200200","","","Іванова Андрія вул."
"200201","","","11"
"200202","","","12"
"200203","","","13"
"200204","","","14"
"200205","","","17"
"200206","","","19"
"200207","","","21"
"200208","","","23"
"200209","","","25/1"
"200210","","","29/18"
"200211","","","1"
"200212","","","Івашкевича Ярослава вул."
"200213","","","3"
"200214","","","4"
"200215","","","5"
"200216","","","6"
"200217","","","6/8А"
"200218","","","8"
"200219","","","8А"
"200220","","","10"
"200221","","","12"
"200222","","","14"
"200223","","","1"
"200224","","","Ігорівська вул."
"200225","","","1/18"
"200226","","","1/8"
"200227","","","2/6"
"200228","","","3"
"200229","","","5"
"200230","","","5А"
"200231","","","7"
"200232","","","11"
"200233","","","11/2"
"200234","","","12"
"200235","","","12А"
"200236","","","12Б"
"200237","","","13"
"200238","","","14"
"200239","","","14А"
"200240","","","16"
"200241","","","1/24"
"200242","","","Їжакевича Івана вул."
"200243","","","3"
"200244","","","4"
"200245","","","5/9"
"200246","","","7/10"
"200247","","","9"
"200248","","","10/8"
"200249","","","12"
"200250","","","14"
"200251","","","16"
"200252","","","18"
"200253","","","19"
"200254","","","20"
"200255","","","21"
"200256","","","55"
"200257","","","56"
